Date,f2_score,ks_decile,conv_abn_detected,recall_score
2021-11-01,0.357,2,0,0.362
2021-11-02,0.356,2,0,0.359
2021-11-03,0.374,3,0,0.371
2021-11-04,0.374,3,0,0.37
2021-11-05,0.376,3,0,0.372
2021-11-06,0.378,3,0,0.374
2021-11-07,0.381,3,0,0.377
2021-11-08,0.381,3,0,0.376
2021-11-09,0.383,3,0,0.377
2021-11-10,0.314,10,1,0.999
2021-11-11,0.381,3,0,0.378
2021-11-12,0.381,3,0,0.379
2021-11-13,0.382,3,0,0.381
2021-11-14,0.38,3,0,0.379
2021-11-15,0.378,3,0,0.377
2021-11-16,0.374,3,0,0.374
2021-11-17,0.375,3,0,0.376
2021-11-18,0.375,3,0,0.377
2021-11-20,0.373,3,0,0.373
2021-11-21,0.374,3,0,0.374
2021-11-22,0.378,3,0,0.379
2021-11-24,0.374,3,0,0.375
2021-11-27,0.38,3,0,0.383
2021-11-28,0.375,3,0,0.378
2021-11-29,0.371,3,0,0.373
2021-11-30,0.373,3,0,0.375
2021-12-01,0.369,2,0,0.373
2021-12-02,0.358,2,0,0.368
2021-12-03,0.360,2,0,0.370
2021-12-04,0.340,2,0,0.368
2021-12-05,0.355,2,0,0.375
