scored_at,test_cold_per,test_hot_per,test_warm_per
2021-07-30,0,30.01,69.99
2021-07-31,0,30.01,69.99
2021-08-01,0,30,70
2021-08-02,0,30,70
2021-08-03,0,30.01,69.99
2021-08-04,0,30,70
2021-08-05,0,30.01,69.99
2021-08-06,0,30,70
2021-08-07,0,30.01,69.99
2021-08-08,0,30,70
2021-08-09,0,30,70
2021-08-10,0,30,70
2021-08-11,0,30,70
2021-08-12,0,30,70
2021-08-13,0,30,70
2021-08-14,0,30,70
2021-08-15,0,30,70
2021-08-16,0,30,70
2021-08-17,0,30,70
2021-08-18,0,30,70
2021-08-19,0,30,70
2021-08-20,0,30,70
2021-08-21,0,30,70
2021-08-22,0,30,70
2021-08-23,0,30,70
2021-08-24,0,30,70
2021-08-25,0,30,70
2021-08-26,0,30,70
2021-08-27,0,30,70
2021-08-28,0,30,70
2021-08-29,0,30,70
2021-08-30,0,30,70
2021-08-31,0,30,70
2021-09-01,0,30,70
2021-09-02,0,30,70
2021-09-03,0,30,70
2021-09-04,0,30,70
2021-09-05,0,30,70
2021-09-06,0,30,70
2021-09-07,0,30,70
2021-09-08,0,30,70
2021-09-09,0,30,70
2021-09-10,0,30,70
2021-09-11,0,30,70
2021-09-12,0,30,70
2021-09-13,0,30,70
2021-09-14,0,30,70
2021-09-15,0,30,70
2021-09-16,0,30,70
2021-09-17,0,30,70
2021-09-18,0,30,70
2021-09-19,0,30,70
2021-09-20,0,30,70
2021-09-21,0,30,70
2021-09-22,0,30,70
2021-09-23,0,30,70
2021-09-24,0,30,70
2021-09-25,0,30,70
2021-09-26,0,30,70
2021-09-27,0,30,70
2021-09-28,0,30,70
2021-09-29,0,30,70
2021-09-30,0,30,70
2021-10-01,0,30,70
2021-10-02,0,30,70
2021-10-03,0,30,70
2021-10-04,0,30,70
2021-10-05,0,30,70
2021-10-06,0,30,70
2021-10-07,0,30,70
2021-10-08,0,30,70
2021-10-10,0,30,70
2021-10-11,0,30,70
2021-10-12,0,30,70
2021-10-13,0,30,70
2021-10-14,0,30,70
2021-10-15,0,30,70
2021-10-16,0,30,70
2021-10-17,0,30,70
2021-10-18,0,30,70
2021-10-19,0,30,70
2021-10-20,0,30,70
2021-10-21,0,30,70
2021-10-22,0,30,70
2021-10-23,0,30,70
2021-10-24,0,30,70
2021-10-25,0,30,70
2021-10-26,0,30,70
2021-10-27,0,30,70
2021-10-28,0,30,70
2021-10-29,10,80,10
2021-10-30,10,80,10
2021-10-31,10,80,10
2021-11-01,10,80,10
2021-11-02,10,80,10
2021-11-05,10,80,10
2021-11-06,10,80,10
2021-11-07,10,80,10
2021-11-08,10,80,10
2021-11-09,10,80,10
2021-11-10,10,80,10
2021-11-11,10,80,10
2021-11-12,10,80,10
2021-11-13,10,80,10
2021-11-14,10,80,10
2021-11-15,10,80,10
2021-11-16,10,80,10
2021-11-17,10,80,10
2021-11-18,10,80,10
2021-11-19,10,80,10
2021-11-20,10,80,10
2021-11-21,10,80,10
2021-11-22,10,80,10
2021-11-23,10,80,10
2021-11-24,10,80,10
2021-11-25,10.06,79.89,10.05
2021-11-27,10,80,10
2021-11-28,10,80,10
2021-11-29,10,80,10
2021-11-30,10,80,10
2021-12-01,10,80,10
2021-12-02,10,80,10
2021-12-03,10,80,10
2021-12-04,10,80,10
2021-12-05,10,80,10
