scored_at,test_cold_per,test_hot_per,test_warm_per
2021-09-17,0,50,50
2021-09-19,0,50,50
2021-09-20,0,50,50
2021-09-21,0,50,50
2021-09-22,0,50,50
2021-09-23,0,50,50
2021-09-24,0,50,50
2021-09-25,0,50,50
2021-09-26,0,50,50
2021-09-27,0,50,50
2021-09-28,0,50,50
2021-09-29,0,50,50
2021-09-30,0,50,50
2021-10-01,0,50,50
2021-10-02,0,30,70
2021-10-03,0,30,70
2021-10-04,0,30,70
2021-10-05,0,30,70
2021-10-06,0,30,70
2021-10-07,0,30,70
2021-10-08,0,80,20
2021-10-09,0,80,20
2021-10-10,0,80,20
2021-10-11,0,80,20
2021-10-12,0,80,20
2021-10-13,0,80,20
2021-10-14,0,80,20
2021-10-15,0,80,20
2021-10-16,0,80,20
2021-10-17,0,80,20
2021-10-18,0,80,20
2021-10-19,0,80,20
2021-10-20,0,80,20
2021-10-21,0,80,20
2021-10-22,0,80,20
2021-10-23,0,80,20
2021-10-24,0,80,20
2021-10-25,0,80,20
2021-10-26,0,80,20
2021-10-27,0,80,20
2021-10-28,0,80,20
2021-10-29,0,80,20
2021-10-30,10,90,0
2021-10-31,10,90,0
2021-11-01,10,90,0
2021-11-02,10,90,0
2021-11-05,10,90,0
2021-11-06,10,90,0
2021-11-07,10,90,0
2021-11-08,10,90,0
2021-11-09,10,90,0
2021-11-10,10,90,0
2021-11-11,10,90,0
2021-11-12,10,90,0
2021-11-13,10,90,0
2021-11-14,10,90,0
2021-11-15,10,90,0
2021-11-16,10,90,0
2021-11-17,10,90,0
2021-11-18,10,90,0
2021-11-19,10,90,0
2021-11-20,10,90,0
2021-11-21,10,90,0
2021-11-22,10,90,0
2021-11-23,10,90,0
2021-11-24,10,90,0
2021-11-27,10,90,0
2021-11-28,10,90,0
2021-11-29,10,90,0
2021-11-30,10,90,0
2021-12-01,10,90,0
2021-12-02,10,90,0
2021-12-03,10,90,0
2021-12-04,10,90,0
2021-12-05,10,90,0
